Asset,w,Alpha,t-value,iKelly-weight,hard-sell,Valuation Score100,Tenbagger Probability100,Return100,Growth Rate100,Defensive Score100,Risk Score100,Bankruptcy Score100,Future Moat Score100,AI Winner Score100,Good Business Score100,Tariff Winner Score100,Sentiment Score100,Good Governance Score100,Market Disruptor Score100,Oversold Score100,Management Score100,Better World Score100,Marketability Score100,Clean Earnings Score100,Scalability Score100,Odds of Outperformance Score100,Bright Future Score100,Short-Term Upside Score100,Mispricing Score100,1-Month +10% Higher Probability100,1-Month -10% Lower Probability100,1-Month -10% Lower Score100,1-Month +20% Higher Probability100,1-Month -20% Lower Probability100,1-Month -20% Lower Score100,Cat-Integrity,Cat-Market,Cat-Quality,Cat-Resilience,Cat-Upside
MERCADOLIBRE INC,0.027475600448054652,0.0707194444444444,1.370789266330407,26.570672711701015,0.0,0.71875,0.340625,0.1780178571428571,0.2544821428571429,0.25,0.7232142857142857,0.9933214285714286,0.9642857142857144,0.7901785714285714,0.9464285714285714,0.6964285714285714,0.7366071428571428,0.75,1.0,0.7589285714285714,0.7857142857142856,0.5267857142857143,0.9553571428571428,0.75,0.7678571428571428,0.9419642857142856,0.9821428571428572,0.5178571428571428,0.7767857142857144,0.234375,0.2122321428571429,0.7877678571428571,0.1367857142857142,0.0803035714285714,0.9196964285714286,0.8414634146341463,0.9512195121951219,0.8536585365853658,0.40789473684210525,0.7073170731707317
Taiwan Semiconductor Manufacturing Company Limited (TSMC),0.02619476965451434,0.0175277777777777,0.4188357198883352,10.008305814829924,0.0,0.5,0.229625,0.1349642857142857,0.1766964285714286,0.4732142857142857,0.7410714285714286,0.9990357142857142,0.9821428571428572,1.0,1.0,0.5892857142857143,0.7455357142857143,0.8035714285714286,0.9910714285714286,0.4642857142857143,0.9821428571428572,0.6875,1.0,0.9732142857142856,0.7142857142857143,0.9642857142857144,0.9419642857142856,0.75,0.7589285714285714,0.2208928571428571,0.1572678571428571,0.8427321428571429,0.1261964285714285,0.0673571428571428,0.9326428571428572,0.975609756097561,0.47560975609756095,0.926829268292683,0.5657894736842105,0.7317073170731707
NVIDIA CORP,0.026062916732896735,0.0705555555555555,1.4644487363741128,30.396048682219877,0.0,0.3035714285714286,0.3457321428571429,0.1767142857142857,0.286625,0.2678571428571428,0.7321428571428572,0.9985357142857143,0.9821428571428572,1.0,0.9776785714285714,0.6071428571428571,0.7053571428571428,0.7589285714285714,1.0,0.40625,1.0,0.5,1.0,0.5,0.9732142857142856,0.96875,1.0,0.7232142857142857,0.7767857142857144,0.3086428571428571,0.2069642857142856,0.7930357142857144,0.1821428571428571,0.1351607142857143,0.8648392857142857,0.7317073170731707,0.4024390243902439,0.9878048780487805,0.3684210526315789,0.9634146341463414
ARISTA NETWORKS INC,0.0252238954404729,0.0302249999999999,0.7698678472447318,19.60947898167867,0.0,0.2946428571428572,0.2733749999999999,0.1411428571428571,0.194875,0.5178571428571428,0.7678571428571428,0.999,0.7946428571428572,0.9866071428571428,0.9464285714285714,0.3214285714285714,0.7232142857142857,0.7410714285714286,0.9553571428571428,0.7276785714285714,0.7857142857142856,0.75,0.9732142857142856,0.7678571428571428,0.7946428571428572,0.9419642857142856,1.0,0.7321428571428572,0.7589285714285714,0.3058928571428571,0.2298035714285714,0.7701964285714286,0.215625,0.1336071428571428,0.8663928571428572,0.9634146341463414,0.34146341463414637,0.8902439024390244,0.75,0.8658536585365854
MICROSOFT CORP,0.02506055504135544,0.0014305555555555,0.0332676375105339,0.7736404931876157,0.0,0.2991071428571428,0.1169464285714285,0.1195178571428571,0.1457857142857143,0.7767857142857144,0.7991071428571428,0.9991071428571429,0.9866071428571428,1.0,1.0,0.6071428571428571,0.7544642857142856,0.7589285714285714,1.0,0.71875,0.9821428571428572,0.5535714285714286,1.0,0.7857142857142856,0.9464285714285714,0.9821428571428572,0.9955357142857144,0.7232142857142857,0.7678571428571428,0.1722678571428572,0.1275714285714285,0.8724285714285716,0.0582321428571428,0.0328749999999999,0.9671250000000001,0.9390243902439024,0.4146341463414634,1.0,0.9210526315789473,0.0975609756097561
Evolution AB,0.024916990028305348,0.0232638888888888,0.4109855277430506,7.260570441208856,0.0,0.7991071428571428,0.2918035714285714,0.1366071428571428,0.1135892857142857,0.5,0.5982142857142857,0.9216785714285715,0.9285714285714286,0.5446428571428572,0.9732142857142856,0.5357142857142857,0.3169642857142857,0.6785714285714286,0.9821428571428572,0.7633928571428572,0.75,0.375,0.7321428571428572,0.6875,0.8571428571428572,0.9508928571428572,0.7455357142857143,0.5223214285714286,0.7589285714285714,0.1923749999999999,0.2120178571428572,0.7879821428571427,0.1388392857142857,0.1615357142857142,0.8384642857142858,0.3902439024390244,0.9878048780487805,0.6219512195121951,0.8157894736842105,0.36585365853658536
ASML Holding NV,0.024780926154500903,0.0323333333333333,0.6573909109305301,13.365860096105326,0.0,0.3035714285714286,0.2354821428571428,0.1213392857142856,0.1320178571428571,0.4821428571428572,0.7142857142857143,0.9986071428571429,1.0,0.9955357142857144,0.9642857142857144,0.5,0.75,0.7767857142857144,1.0,0.3482142857142857,0.7857142857142856,0.7321428571428572,1.0,0.7767857142857144,0.7142857142857143,0.9508928571428572,0.9642857142857144,0.7455357142857143,0.5178571428571428,0.2506785714285714,0.1868035714285714,0.8131964285714286,0.1684642857142857,0.0563571428571428,0.9436428571428572,0.9878048780487805,0.3048780487804878,0.9146341463414634,0.5,0.6585365853658537
INTUIT INC,0.02473791487788901,2.7777777777777898e-05,0.0006186258276633,0.0137771249274761,0.0,0.53125,0.195125,0.1316785714285714,0.1433392857142857,0.7053571428571428,0.8035714285714286,0.9949642857142857,0.9642857142857144,0.9732142857142856,0.9866071428571428,0.5535714285714286,0.7455357142857143,0.7410714285714286,0.7946428571428572,0.6875,0.75,0.375,0.9464285714285714,0.75,0.7946428571428572,0.7857142857142856,0.9419642857142856,0.7098214285714286,0.75,0.2056785714285714,0.1770714285714285,0.8229285714285715,0.1154107142857142,0.0720714285714285,0.9279285714285715,0.6585365853658537,0.4878048780487805,0.9024390243902439,0.9868421052631579,0.25609756097560976
"ServiceNow, Inc.",0.024224601221832027,0.0266111111111111,0.5842173225680682,12.825841001659375,0.0,0.2678571428571428,0.2111071428571428,0.1517321428571428,0.1998392857142857,0.6964285714285714,0.7455357142857143,0.9982142857142858,0.9598214285714286,0.9642857142857144,0.9910714285714286,0.5892857142857143,0.6517857142857143,0.75,0.9821428571428572,0.75,0.7678571428571428,0.7410714285714286,0.9732142857142856,0.75,0.9464285714285714,0.8035714285714286,0.9642857142857144,0.5133928571428572,0.78125,0.2211964285714285,0.2352142857142857,0.7647857142857143,0.1092142857142857,0.0977142857142857,0.9022857142857144,0.9512195121951219,0.2926829268292683,0.9390243902439024,0.8289473684210527,0.3902439024390244
Nu Holdings,0.024161155576571232,0.0388819444444444,0.7969143342024411,16.333351254197904,0.0,0.6785714285714286,0.3864285714285714,0.1923392857142857,0.2900714285714286,0.2767857142857143,0.7366071428571428,0.9649642857142858,0.7544642857142856,0.78125,0.7857142857142856,0.5714285714285714,0.75,0.75,0.7857142857142856,0.3169642857142857,0.75,0.7321428571428572,0.75,0.7232142857142857,0.7857142857142856,0.7857142857142856,0.7857142857142856,0.75,0.7053571428571428,0.2932857142857143,0.1728928571428571,0.8271071428571429,0.1591071428571428,0.0570535714285714,0.9429464285714286,0.8658536585365854,0.6219512195121951,0.6097560975609756,0.9473684210526315,0.9878048780487805
ALPHABET INC,0.02400817514394863,0.0011180555555555,0.027235753138975,0.6634609929366164,0.0,0.3125,0.1201071428571428,0.1137142857142857,0.1387142857142857,0.5178571428571428,0.8616071428571428,0.9990357142857142,0.9508928571428572,1.0,0.9866071428571428,0.5,0.7723214285714286,0.6875,1.0,0.2633928571428572,0.7410714285714286,0.4821428571428572,1.0,0.7053571428571428,0.9821428571428572,0.9508928571428572,0.9419642857142856,0.7455357142857143,0.5178571428571428,0.2410178571428571,0.1509999999999999,0.8490000000000001,0.1321785714285714,0.0406964285714285,0.9593035714285715,0.45121951219512196,0.32926829268292684,0.975609756097561,0.7894736842105263,0.2073170731707317
TRADE DESK INC,0.023981479453229426,0.032375,0.6374746354540933,12.552089910342216,0.0,0.6830357142857143,0.3784285714285714,0.1521785714285714,0.1985714285714285,0.2678571428571428,0.7053571428571428,0.9928571428571429,0.7633928571428572,0.7857142857142856,0.7723214285714286,0.5,0.28125,0.7142857142857143,0.9910714285714286,0.7946428571428572,0.7767857142857144,0.4732142857142857,0.7767857142857144,0.4910714285714286,0.9732142857142856,0.7633928571428572,0.7767857142857144,0.4910714285714286,0.9598214285714286,0.2277142857142857,0.3144285714285714,0.6855714285714286,0.1500357142857143,0.1952678571428571,0.8047321428571429,0.47560975609756095,0.8170731707317073,0.6707317073170732,0.4342105263157895,0.7195121951219512
