Asset,w,Alpha,t-value,iKelly-weight,Valuation Score100,Tenbagger Probability100,Return100,Growth Rate100,Defensive Score100,Risk Score100,Bankruptcy Score100,Future Moat Score100,AI Winner Score100,Good Business Score100,Tariff Winner Score100,Sentiment Score100,Good Governance Score100,Market Disruptor Score100,Oversold Score100,Management Score100,Better World Score100,Marketability Score100,Clean Earnings Score100,Scalability Score100,Odds of Outperformance Score100,hard-sell,Cat-Integrity,Cat-Market,Cat-Quality,Cat-Resilience,Cat-Upside
ASML Holding NV,0.021184669930331336,0.0241666666666666,0.4674983495718233,9.043643042167394,0.5267857142857143,0.6578571428571428,0.1360357142857143,0.1142499999999999,0.4910714285714286,0.5,0.99775,1.0,1.0,0.9910714285714286,0.5,0.5357142857142857,0.7678571428571428,1.0,0.75,0.8035714285714286,0.7410714285714286,0.9732142857142856,0.7232142857142857,0.75,1.0,0.0,0.9896907216494846,0.8865979381443299,0.9587628865979382,0.4845360824742268,0.6185567010309279
Taiwan Semiconductor Manufacturing Company Limited (TSMC),0.021081476254188738,0.0129791666666666,0.3053791547877372,7.18508595920689,0.4821428571428572,0.6973214285714286,0.1479285714285714,0.1701785714285714,0.5357142857142857,0.5089285714285714,0.9990357142857142,0.9732142857142856,1.0,0.9910714285714286,0.5892857142857143,0.75,0.7410714285714286,1.0,0.2678571428571428,0.9910714285714286,0.5267857142857143,0.9910714285714286,0.7678571428571428,0.7410714285714286,0.9821428571428572,0.0,0.8865979381443299,0.7938144329896907,0.9484536082474226,0.5567010309278351,0.865979381443299
Evolution AB,0.020799269587534284,0.0249791666666666,0.4715372817844965,8.901314086247009,0.7232142857142857,0.7033928571428573,0.1098214285714285,0.1485714285714285,0.4821428571428572,0.4821428571428572,0.9998214285714286,0.875,0.7767857142857144,0.7857142857142856,0.5357142857142857,0.7232142857142857,0.6696428571428572,0.9642857142857144,0.2946428571428572,0.7321428571428572,0.25,0.7410714285714286,0.6071428571428572,0.8392857142857144,0.7678571428571428,0.0,0.27835051546391754,0.979381443298969,0.7525773195876289,0.18556701030927836,0.5463917525773195
NVIDIA CORP,0.019934404666795146,0.0704791666666666,1.5726031441359254,35.08952738676249,0.2678571428571428,0.7328571428571428,0.1318214285714285,0.2903928571428571,0.25,0.3928571428571428,0.9987857142857143,0.9821428571428572,1.0,1.0,0.6071428571428571,0.7946428571428572,0.75,1.0,0.2410714285714286,1.0,0.5089285714285714,1.0,0.4642857142857143,1.0,0.9732142857142856,0.0,0.6752577319587629,0.5360824742268041,1.0,0.061855670103092786,0.9484536082474226
PDD Holdings,0.019687195370449315,0.0342395833333333,0.7799508714468536,17.76666952831999,0.7946428571428572,0.6050357142857142,0.0875714285714285,0.1166071428571428,0.2767857142857143,0.5178571428571428,0.9826071428571429,0.7142857142857143,0.5535714285714286,0.7410714285714286,0.25,0.75,0.5267857142857143,0.9821428571428572,0.25,0.75,0.2410714285714286,0.75,0.4642857142857143,0.75,0.7142857142857143,0.0,0.2268041237113402,0.9484536082474226,0.31958762886597936,0.7938144329896907,0.28865979381443296
BYD Company Limited,0.01945198530774898,0.0226458333333333,0.6620270194386219,19.35366069402548,0.6964285714285714,0.6040000000000001,0.1614642857142857,0.1656071428571428,0.4910714285714286,0.5,0.9578571428571429,0.7946428571428572,0.7232142857142857,0.75,0.5892857142857143,0.7410714285714286,0.5178571428571428,1.0,0.5089285714285714,0.75,0.6964285714285714,0.75,0.7410714285714286,0.5267857142857143,0.7767857142857144,0.0,0.5979381443298969,0.9690721649484536,0.5051546391752577,0.9278350515463918,0.8865979381443299
ADOBE INC,0.019068205788851555,-0.0038125,-0.1038586515518927,-2.8292772464727785,0.7053571428571428,0.4496428571428572,0.1177499999999999,0.1268571428571428,0.4732142857142857,0.5089285714285714,0.9942857142857143,0.8035714285714286,0.7946428571428572,0.7857142857142856,0.5892857142857143,0.625,0.75,0.9821428571428572,0.7410714285714286,0.75,0.7410714285714286,0.9553571428571428,0.7946428571428572,0.8035714285714286,0.7678571428571428,0.0,0.9381443298969072,1.0,0.7835051546391752,0.6804123711340206,0.3711340206185567
Meituan,0.01886399615303813,0.0117104166666666,0.2850181281509636,6.937014769586548,0.7142857142857143,0.5178928571428572,0.1260714285714285,0.1363928571428571,0.2946428571428572,0.4910714285714286,0.9858928571428572,0.75,0.7946428571428572,0.75,0.6071428571428571,0.7232142857142857,0.5357142857142857,0.9464285714285714,0.75,0.7410714285714286,0.2857142857142857,0.7321428571428572,0.7321428571428572,0.7589285714285714,0.5089285714285714,0.0,0.32989690721649484,0.9381443298969072,0.6597938144329897,0.520618556701031,0.4639175257731959
ALPHABET INC,0.018612690035061677,-0.0010312499999999,-0.0249399213635363,-0.6031512025400007,0.6964285714285714,0.2047142857142857,0.1296071428571428,0.1012142857142857,0.5,0.6160714285714286,0.999,0.7946428571428572,1.0,0.9821428571428572,0.5,0.7589285714285714,0.75,0.9821428571428572,0.25,0.7589285714285714,0.4910714285714286,1.0,0.7589285714285714,0.9821428571428572,0.7678571428571428,0.0,0.7731958762886598,0.9587628865979382,0.9690721649484536,0.7628865979381443,0.12371134020618557
"ServiceNow, Inc.",0.018360433684734414,0.0350208333333333,0.7657511316391711,16.74359916069019,0.2321428571428571,0.6118571428571429,0.1542142857142857,0.1977857142857142,0.5178571428571428,0.5714285714285714,0.9962857142857143,0.875,0.875,0.9732142857142856,0.5892857142857143,0.7946428571428572,0.75,0.9910714285714286,0.5089285714285714,0.7589285714285714,0.75,0.7767857142857144,0.7767857142857144,0.75,0.7857142857142856,0.0,1.0,0.38144329896907214,0.7938144329896907,0.865979381443299,0.9381443298969072
MERCADOLIBRE INC,0.018164064518960174,0.0671,1.3269559486019806,26.24161087228289,0.2589285714285714,0.6471785714285714,0.152,0.2439285714285714,0.375,0.625,0.9897857142857143,0.9732142857142856,0.7946428571428572,0.875,0.6964285714285714,0.7410714285714286,0.75,1.0,0.4642857142857143,0.875,0.625,0.7946428571428572,0.7589285714285714,0.8035714285714286,0.7767857142857144,0.0,0.9278350515463918,0.4742268041237113,0.8969072164948454,0.8762886597938144,0.979381443298969
APPLIED MATERIALS INC,0.01805509588703773,-0.0037291666666666,-0.1146561718152232,-3.525194476510925,0.4910714285714286,0.5895714285714285,0.1004285714285714,0.0977142857142857,0.4642857142857143,0.7232142857142857,0.9948571428571429,0.7678571428571428,0.9910714285714286,0.75,0.5178571428571429,0.7678571428571428,0.75,0.875,0.4821428571428572,0.7678571428571428,0.7321428571428572,0.8035714285714286,0.5267857142857143,0.7321428571428572,0.7678571428571428,0.0,0.8762886597938144,0.8350515463917526,0.6907216494845361,0.8402061855670103,0.25773195876288657
Nu Holdings,0.018019208818684018,0.03984375,0.7714670529586455,14.937384503233194,0.5,0.5912857142857143,0.1986071428571428,0.3058214285714285,0.2857142857142857,0.5089285714285714,0.9708928571428572,0.75,0.75,0.75,0.5714285714285714,0.7321428571428572,0.7142857142857143,0.7589285714285714,0.5089285714285714,0.7589285714285714,0.7142857142857143,0.75,0.75,0.7589285714285714,0.7321428571428572,0.0,0.8247422680412371,0.7835051546391752,0.5515463917525774,0.8402061855670103,1.0
Lululemon Athletica Inc.,0.017889373301079828,-0.0013479166666666,-0.0327163829825469,-0.7940859712845888,0.7053571428571428,0.4043571428571428,0.0848928571428571,0.0840714285714285,0.4821428571428572,0.5089285714285714,0.9945,0.7410714285714286,0.4732142857142857,0.7589285714285714,0.3571428571428571,0.3214285714285714,0.75,0.7857142857142856,0.75,0.75,0.5,0.8035714285714286,0.75,0.7410714285714286,0.75,0.0,0.7319587628865979,0.9896907216494846,0.41237113402061853,0.7010309278350515,0.1134020618556701
AMAZON.COM INC,0.017725270372314014,0.0045625,0.1333643089995477,3.89830989916205,0.2857142857142857,0.47875,0.1351428571428571,0.1560714285714285,0.4553571428571428,0.6071428571428572,0.999,1.0,1.0,1.0,0.4642857142857143,0.7410714285714286,0.6875,1.0,0.4642857142857143,0.8035714285714286,0.2589285714285714,1.0,0.7321428571428572,0.8035714285714286,0.7946428571428572,0.0,0.5257731958762887,0.6701030927835051,0.979381443298969,0.6030927835051546,0.6597938144329897
FORTINET INC,0.017691603537412694,0.0240625,0.5880681534934562,14.371912858314936,0.4553571428571428,0.4266785714285714,0.0964285714285714,0.1384999999999999,0.5446428571428572,0.7142857142857143,0.9955714285714286,0.7946428571428572,0.875,0.875,0.3392857142857143,0.5267857142857143,0.7410714285714286,0.9821428571428572,0.4910714285714286,0.7589285714285714,0.7410714285714286,0.7678571428571428,0.7232142857142857,0.9732142857142856,0.7767857142857144,0.0,0.865979381443299,0.7731958762886598,0.8865979381443299,0.9484536082474226,0.26804123711340205
