Asset,w,Alpha,t-value,iKelly-weight,Valuation Score100,Tenbagger Probability100,Return100,Growth Rate100,Defensive Score100,Risk Score100,Bankruptcy Score100,Future Moat Score100,AI Winner Score100,Good Business Score100,Tariff Winner Score100,Sentiment Score100,Good Governance Score100,Market Disruptor Score100,Oversold Score100,Management Score100,Better World Score100,Marketability Score100,Clean Earnings Score100,Scalability Score100,hard-sell,Cat-Integrity,Cat-Market,Cat-Quality,Cat-Resilience,Cat-Upside
ADOBE INC,0.02055056357920107,-0.0038125,-0.1038586515518927,-2.8292772464727785,0.7321428571428572,0.6216071428571428,0.1296428571428571,0.1142857142857142,0.4464285714285714,0.5,0.9962857142857143,0.7946428571428572,0.8035714285714286,1.0,0.5892857142857143,0.7410714285714286,0.25,0.75,0.75,0.7678571428571428,0.2767857142857143,1.0,0.7410714285714286,0.9910714285714286,0.0,0.635,0.94,0.85,0.4536082474226804,0.49
ALPHABET INC,0.020545552829798003,-0.0010312499999999,-0.0249399213635363,-0.6031512025400007,0.7410714285714286,0.5925,0.12875,0.1476785714285714,0.7142857142857143,0.6160714285714286,0.999,0.7767857142857144,1.0,1.0,0.5,0.75,0.25,0.9821428571428572,0.5,0.7410714285714286,0.2321428571428571,1.0,0.7946428571428572,0.8035714285714286,0.0,0.45,0.95,0.94,0.7938144329896907,0.55
BYD Company Limited,0.020054658376021956,0.0226458333333333,0.6620270194386219,19.35366069402548,0.6160714285714286,0.6942857142857143,0.1627499999999999,0.2177857142857142,0.2142857142857143,0.4910714285714286,0.9707142857142858,0.9821428571428572,0.7410714285714286,1.0,0.5892857142857143,0.6964285714285714,0.6607142857142857,1.0,0.6339285714285714,0.5892857142857143,0.2232142857142857,0.7767857142857144,0.75,0.5,0.0,0.48,0.85,0.64,0.41237113402061853,0.97
ASML Holding NV,0.01999404273507321,0.0241666666666666,0.4674983495718233,9.043643042167394,0.4910714285714286,0.7269642857142857,0.1311428571428571,0.1420714285714285,0.4464285714285714,0.5267857142857143,0.9983928571428572,0.9910714285714286,1.0,1.0,0.5,0.7232142857142857,0.9910714285714286,1.0,0.5,0.7142857142857143,0.5178571428571428,1.0,0.8035714285714286,0.4821428571428572,0.0,0.88,0.8,0.88,0.6804123711340206,0.62
Evolution AB,0.019474770181690824,0.0249791666666666,0.4715372817844965,8.901314086247009,0.7678571428571428,0.6366071428571428,0.186,0.1542857142857142,0.2857142857142857,0.4821428571428572,0.9994642857142858,0.9732142857142856,0.6339285714285714,0.8035714285714286,0.5357142857142857,0.5178571428571428,0.2410714285714286,1.0,0.7321428571428572,0.9464285714285714,0.25,0.7946428571428572,0.7321428571428572,0.75,0.0,0.5,0.99,0.58,0.1134020618556701,0.87
Taiwan Semiconductor Manufacturing Company Limited (TSMC),0.019287202489839138,0.0129791666666666,0.3053791547877372,7.18508595920689,0.4642857142857143,0.6671428571428573,0.1558928571428571,0.1748928571428571,0.2946428571428572,0.5,0.9987142857142858,0.9821428571428572,1.0,1.0,0.5892857142857143,0.75,0.9910714285714286,0.9910714285714286,0.2410714285714286,0.7857142857142856,0.4464285714285714,0.9910714285714286,0.9732142857142856,0.4732142857142857,0.0,0.89,0.72,0.84,0.3402061855670103,0.88
Meituan,0.019070837646013243,0.0117104166666666,0.2850181281509636,6.937014769586548,0.7053571428571428,0.5405357142857143,0.1117142857142857,0.1298571428571428,0.4732142857142857,0.5,0.9880357142857144,0.7321428571428572,0.8035714285714286,0.9464285714285714,0.6071428571428571,0.5357142857142857,0.2678571428571428,0.7946428571428572,0.7589285714285714,0.7321428571428572,0.25,0.7678571428571428,0.5446428571428572,0.7410714285714286,0.0,0.38,0.91,0.51,0.7319587628865979,0.39
MERCADOLIBRE INC,0.018839354460795914,0.0671,1.3269559486019806,26.24161087228289,0.2946428571428572,0.7485714285714287,0.1687142857142857,0.2369642857142856,0.1964285714285714,0.5178571428571428,0.9862142857142858,0.9910714285714286,0.9464285714285714,1.0,0.6964285714285714,0.75,0.6607142857142857,1.0,0.3928571428571428,0.9910714285714286,0.5267857142857143,0.9821428571428572,0.7410714285714286,0.7589285714285714,0.0,0.94,0.56,0.92,0.5567010309278351,0.98
ARISTA NETWORKS INC,0.018574226510992557,0.0312125,0.7895821741959879,19.974049172865463,0.3035714285714286,0.715,0.1325,0.1564642857142857,0.9910714285714286,0.75,0.999,0.75,0.9821428571428572,0.9821428571428572,0.3214285714285714,0.7410714285714286,0.3035714285714286,1.0,0.5,1.0,0.5446428571428572,1.0,0.7857142857142856,0.7589285714285714,0.0,0.98,0.6,0.79,0.9226804123711341,0.67
NVIDIA CORP,0.018496318052673058,0.0704791666666666,1.5726031441359254,35.08952738676249,0.2142857142857143,0.7544642857142857,0.1909642857142857,0.33125,0.0535714285714286,0.5,0.9988928571428572,0.9910714285714286,1.0,1.0,0.6071428571428571,0.8035714285714286,0.9910714285714286,1.0,0.2410714285714286,1.0,0.2589285714285714,1.0,0.7589285714285714,0.9910714285714286,0.0,0.915,0.245,0.99,0.08247422680412371,1.0
