Asset,w,Alpha,t-value,iKelly-weight,hard-sell,Valuation Score100,Tenbagger Probability100,Return100,Growth Rate100,Defensive Score100,Risk Score100,Bankruptcy Score100,Future Moat Score100,AI Winner Score100,Good Business Score100,Tariff Winner Score100,Sentiment Score100,Good Governance Score100,Market Disruptor Score100,Oversold Score100,Management Score100,Better World Score100,Marketability Score100,Clean Earnings Score100,Scalability Score100,Odds of Outperformance Score100,Bright Future Score100,Short-Term Upside Score100,Mispricing Score100,1-Month +10% Higher Probability100,1-Month -10% Lower Probability100,1-Month -10% Lower Score100,1-Month +20% Higher Probability100,1-Month -20% Lower Probability100,1-Month -20% Lower Score100,Cat-Integrity,Cat-Market,Cat-Quality,Cat-Resilience,Cat-Upside
NVIDIA CORP,0.024435647454763402,0.0705555555555555,1.4644487363741128,30.396048682219877,0.0,0.2321428571428571,0.7067142857142857,0.1719642857142856,0.3461071428571429,0.2678571428571428,0.5446428571428572,0.9985357142857143,0.9821428571428572,1.0,0.9821428571428572,0.6071428571428571,0.7946428571428572,0.7589285714285714,1.0,0.4553571428571428,1.0,0.5,1.0,0.5,0.9732142857142856,0.9910714285714286,1.0,0.7321428571428572,0.6875,0.5425714285714286,0.192,0.808,0.3805714285714285,0.1356785714285714,0.8643214285714286,0.7317073170731707,0.35365853658536583,1.0,0.34210526315789475,1.0
ASML Holding NV,0.02422911818450423,0.0323333333333333,0.6573909109305301,13.365860096105326,0.0,0.2901785714285714,0.7235714285714286,0.1277857142857142,0.1437857142857142,0.4821428571428572,0.5357142857142857,0.9986071428571429,1.0,1.0,0.9910714285714286,0.5,0.75,0.7767857142857144,1.0,0.2946428571428572,0.7857142857142856,0.7321428571428572,1.0,0.7767857142857144,0.7142857142857143,0.9821428571428572,0.9866071428571428,0.625,0.5491071428571428,0.5955357142857143,0.1558571428571428,0.8441428571428572,0.2065,0.08525,0.91475,0.9878048780487805,0.6951219512195121,0.9512195121951219,0.5789473684210527,0.8536585365853658
Taiwan Semiconductor Manufacturing Company Limited (TSMC),0.024154470255248268,0.0175277777777777,0.4188357198883352,10.008305814829924,0.0,0.3035714285714286,0.6634285714285714,0.1307142857142857,0.1892857142857143,0.4732142857142857,0.6339285714285714,0.9990357142857142,0.9642857142857144,1.0,1.0,0.5892857142857143,0.7589285714285714,0.8035714285714286,0.9910714285714286,0.4732142857142857,0.9821428571428572,0.6875,1.0,0.9732142857142856,0.7142857142857143,0.9553571428571428,0.9642857142857144,0.6919642857142857,0.6830357142857143,0.51,0.1693928571428571,0.8306071428571429,0.1665357142857143,0.0784285714285714,0.9215714285714286,0.975609756097561,0.7804878048780488,0.926829268292683,0.5986842105263158,0.8658536585365854
MERCADOLIBRE INC,0.022806688256085908,0.0707194444444444,1.370789266330407,26.570672711701015,0.0,0.3303571428571428,0.6404285714285715,0.1680357142857143,0.246,0.25,0.625,0.9933214285714286,0.9642857142857144,0.9553571428571428,0.875,0.6964285714285714,0.7410714285714286,0.75,1.0,0.7321428571428572,0.7857142857142856,0.5267857142857143,0.9553571428571428,0.75,0.7678571428571428,0.7857142857142856,0.9776785714285714,0.5446428571428572,0.6919642857142857,0.3323571428571428,0.2792142857142857,0.7207857142857144,0.2046785714285714,0.1687142857142857,0.8312857142857143,0.8414634146341463,0.8780487804878049,0.8414634146341463,0.5131578947368421,0.926829268292683
BYD Company Limited,0.022366981960044014,0.0220138888888888,0.5667832994441113,14.592755971022225,0.0,0.6651785714285714,0.6261428571428571,0.14975,0.1822142857142857,0.4553571428571428,0.5,0.9619642857142858,0.7767857142857144,0.7410714285714286,0.7678571428571428,0.5892857142857143,0.5892857142857143,0.5267857142857143,1.0,0.75,0.75,0.5357142857142857,0.7410714285714286,0.7321428571428572,0.5357142857142857,0.75,0.9598214285714286,0.4910714285714286,0.7008928571428572,0.2379285714285714,0.2956785714285714,0.7043214285714285,0.1964285714285714,0.1785714285714285,0.8214285714285715,0.524390243902439,0.975609756097561,0.5487804878048781,0.8552631578947368,0.4634146341463415
ARISTA NETWORKS INC,0.022366948921338288,0.0302249999999999,0.7698678472447318,19.60947898167867,0.0,0.2366071428571428,0.6378571428571429,0.1431071428571428,0.1991071428571428,0.5178571428571428,0.7410714285714286,0.999,0.7946428571428572,0.9821428571428572,0.9642857142857144,0.3214285714285714,0.7589285714285714,0.7410714285714286,0.9553571428571428,0.4732142857142857,0.7857142857142856,0.75,0.9732142857142856,0.7678571428571428,0.7946428571428572,0.7589285714285714,0.9553571428571428,0.5625,0.53125,0.3845357142857143,0.2125357142857142,0.7874642857142858,0.2741428571428571,0.1451071428571428,0.8548928571428572,0.9634146341463414,0.25609756097560976,0.8658536585365854,0.7631578947368421,0.9390243902439024
FORTINET INC,0.022022010886046817,0.0191388888888888,0.4614104301869942,11.123926071222778,0.0,0.4642857142857143,0.6258928571428571,0.0973571428571428,0.1723214285714285,0.5357142857142857,0.6964285714285714,0.9915357142857143,0.7589285714285714,0.9732142857142856,0.9553571428571428,0.3392857142857143,0.4821428571428572,0.6875,0.9464285714285714,0.75,0.7321428571428572,0.7232142857142857,0.7678571428571428,0.4732142857142857,0.875,0.7589285714285714,0.7991071428571428,0.4866071428571428,0.5044642857142857,0.3026071428571428,0.2871071428571428,0.7128928571428572,0.1774285714285714,0.2243214285714285,0.7756785714285714,0.4146341463414634,0.8170731707317073,0.7804878048780488,0.9605263157894737,0.2804878048780488
MICROSOFT CORP,0.022006215764858363,0.0014305555555555,0.0332676375105339,0.7736404931876157,0.0,0.2678571428571428,0.1976428571428571,0.1209642857142856,0.1465714285714285,0.7767857142857144,0.7767857142857144,0.9991071428571429,0.9821428571428572,1.0,1.0,0.6071428571428571,0.7678571428571428,0.7589285714285714,1.0,0.5089285714285714,0.9821428571428572,0.5535714285714286,1.0,0.7857142857142856,0.9464285714285714,0.9464285714285714,0.9955357142857144,0.6294642857142857,0.6875,0.2769285714285714,0.1446071428571428,0.8553928571428572,0.1746428571428571,0.0495357142857142,0.9504642857142858,0.9390243902439024,0.5487804878048781,0.9878048780487805,0.9210526315789473,0.17073170731707318
MASTERCARD INC,0.021807744049407288,0.0031569444444444,0.0719150105620625,1.6382197517738375,0.0,0.2633928571428572,0.3797857142857143,0.1316785714285714,0.1545714285714285,0.7410714285714286,0.7678571428571428,0.9988571428571429,0.9464285714285714,0.875,0.9910714285714286,0.4464285714285714,0.75,0.7678571428571428,0.7678571428571428,0.5267857142857143,0.875,0.7321428571428572,1.0,0.875,1.0,0.8035714285714286,0.9642857142857144,0.5357142857142857,0.5535714285714286,0.4794285714285714,0.14975,0.85025,0.1378214285714285,0.0824642857142857,0.9175357142857143,1.0,0.45121951219512196,0.9024390243902439,0.9342105263157895,0.4146341463414634
Evolution AB,0.0217254394956356,0.0232638888888888,0.4109855277430506,7.260570441208856,0.0,0.6919642857142857,0.7317500000000001,0.1237142857142857,0.1682142857142857,0.5,0.4553571428571428,0.9216785714285715,0.9196428571428572,0.7589285714285714,0.9642857142857144,0.5357142857142857,0.5357142857142857,0.6785714285714286,0.9821428571428572,0.7678571428571428,0.75,0.375,0.7321428571428572,0.6875,0.8571428571428572,0.7678571428571428,0.5446428571428572,0.4821428571428572,0.6339285714285714,0.2172142857142857,0.3479285714285714,0.6520714285714286,0.1603571428571428,0.2796428571428571,0.7203571428571429,0.3902439024390244,1.0,0.573170731707317,0.7368421052631579,0.4268292682926829
