Asset,w,Alpha,t-value,iKelly-weight,hard-sell,Valuation Score100,Tenbagger Probability100,Return100,Growth Rate100,Defensive Score100,Risk Score100,Bankruptcy Score100,Future Moat Score100,AI Winner Score100,Good Business Score100,Tariff Winner Score100,Sentiment Score100,Good Governance Score100,Market Disruptor Score100,Oversold Score100,Management Score100,Better World Score100,Marketability Score100,Clean Earnings Score100,Scalability Score100,Odds of Outperformance Score100,Bright Future Score100,Short-Term Upside Score100,Mispricing Score100,1-Month +10% Higher Probability100,1-Month -10% Lower Probability100,1-Month +20% Higher Probability100,1-Month -20% Lower Probability100,Cat-Integrity,Cat-Market,Cat-Quality,Cat-Resilience,Cat-Upside
Taiwan Semiconductor Manufacturing Company Limited (TSMC),0.025045232523439535,0.0175277777777777,0.4188357198883352,10.008305814829924,0.0,0.5267857142857143,0.6876785714285714,0.1218928571428571,0.17875,0.4642857142857143,0.5267857142857143,0.9990714285714286,0.9642857142857144,1.0,0.9732142857142856,0.5892857142857143,0.75,0.75,1.0,0.3035714285714286,0.9732142857142856,0.7142857142857143,1.0,0.9732142857142856,0.7321428571428572,0.9732142857142856,0.9821428571428572,0.7321428571428572,0.6160714285714286,0.3311428571428571,0.1825,0.1885357142857142,0.1214999999999999,0.9390243902439024,0.8780487804878049,0.9146341463414634,0.4144736842105263,0.8780487804878049
ASML Holding NV,0.02465228335398069,0.0323333333333333,0.6573909109305301,13.365860096105326,0.0,0.4642857142857143,0.6595357142857142,0.1083928571428571,0.1533214285714285,0.4910714285714286,0.5,0.999,0.9910714285714286,1.0,1.0,0.5,0.7410714285714286,0.75,1.0,0.2589285714285714,0.7946428571428572,0.7142857142857143,1.0,0.7767857142857144,0.7142857142857143,1.0,0.9642857142857144,0.7232142857142857,0.5178571428571428,0.5563214285714286,0.1896785714285714,0.1718214285714285,0.1038571428571428,0.9146341463414634,0.6219512195121951,0.9390243902439024,0.34210526315789475,0.8170731707317073
NVIDIA CORP,0.024061050839907026,0.0705555555555555,1.4644487363741128,30.396048682219877,0.0,0.2767857142857143,0.6579999999999999,0.1918571428571428,0.2615714285714285,0.2410714285714286,0.5,0.9991071428571429,0.9732142857142856,1.0,0.9821428571428572,0.6071428571428571,0.7946428571428572,0.7589285714285714,1.0,0.3035714285714286,1.0,0.5267857142857143,1.0,0.5,0.9821428571428572,0.9642857142857144,1.0,0.7589285714285714,0.6875,0.5052142857142857,0.1544285714285714,0.2006428571428571,0.115,0.7439024390243902,0.3902439024390244,0.9878048780487805,0.09210526315789473,1.0
Evolution AB,0.023585558167614644,0.0232638888888888,0.4109855277430506,7.260570441208856,0.0,0.7589285714285714,0.7381071428571429,0.11625,0.1507142857142857,0.5089285714285714,0.3214285714285714,0.9652499999999999,0.9553571428571428,0.7857142857142856,0.9732142857142856,0.5357142857142857,0.7232142857142857,0.6964285714285714,0.9910714285714286,0.7410714285714286,0.7589285714285714,0.2857142857142857,0.7321428571428572,0.6875,0.875,0.7767857142857144,0.75,0.5178571428571428,0.7232142857142857,0.3083571428571428,0.3353928571428571,0.1954642857142857,0.1827142857142857,0.4024390243902439,1.0,0.7804878048780488,0.631578947368421,0.6341463414634146
ARISTA NETWORKS INC,0.022685931969079996,0.0302249999999999,0.7698678472447318,19.60947898167867,0.0,0.2678571428571428,0.6164285714285714,0.12675,0.2042857142857143,0.7053571428571428,0.6339285714285714,0.9983928571428572,0.7857142857142856,1.0,0.9642857142857144,0.3214285714285714,0.75,0.7589285714285714,1.0,0.25,0.8035714285714286,0.7232142857142857,0.9732142857142856,0.7678571428571428,0.9464285714285714,0.7946428571428572,0.9553571428571428,0.7232142857142857,0.6785714285714286,0.5637857142857142,0.1858214285714285,0.2001071428571428,0.1141785714285714,0.975609756097561,0.3048780487804878,0.9512195121951219,0.868421052631579,0.9024390243902439
MERCADOLIBRE INC,0.02255083299331561,0.0707194444444444,1.370789266330407,26.570672711701015,0.0,0.4910714285714286,0.5914285714285714,0.1721785714285714,0.2561071428571428,0.2767857142857143,0.5535714285714286,0.9870714285714286,0.9642857142857144,0.9642857142857144,0.875,0.6964285714285714,0.75,0.75,1.0,0.3035714285714286,0.7767857142857144,0.5357142857142857,0.9553571428571428,0.75,0.7946428571428572,0.7678571428571428,0.875,0.7410714285714286,0.7321428571428572,0.27125,0.2270357142857142,0.1843571428571428,0.1472142857142857,0.8048780487804879,0.8170731707317073,0.8536585365853658,0.7171052631578947,0.975609756097561
MICROSOFT CORP,0.02239709942796077,0.0014305555555555,0.0332676375105339,0.7736404931876157,0.0,0.3125,0.2863214285714285,0.1212857142857142,0.1395357142857143,0.7589285714285714,0.7767857142857144,0.9990357142857142,0.9910714285714286,1.0,1.0,0.6071428571428571,0.75,0.7678571428571428,0.9910714285714286,0.3125,0.9642857142857144,0.6964285714285714,1.0,0.7857142857142856,0.9642857142857144,0.9553571428571428,0.9642857142857144,0.75,0.75,0.3136071428571428,0.125,0.1191071428571428,0.0811785714285714,0.9512195121951219,0.6097560975609756,1.0,0.9736842105263158,0.35365853658536583
ALPHABET INC,0.021779301886857474,0.0011180555555555,0.027235753138975,0.6634609929366164,0.0,0.4821428571428572,0.3161428571428571,0.1221071428571428,0.1494642857142857,0.5089285714285714,0.7678571428571428,0.9978214285714286,0.7946428571428572,1.0,0.9821428571428572,0.5,0.7589285714285714,0.7232142857142857,1.0,0.2142857142857143,0.75,0.5,1.0,0.7053571428571428,0.9821428571428572,0.7767857142857144,0.9464285714285714,0.6160714285714286,0.7053571428571428,0.2876428571428572,0.1918214285714285,0.1770357142857143,0.1101428571428571,0.5914634146341463,0.7317073170731707,0.975609756097561,0.9342105263157895,0.17073170731707318
Nu Holdings,0.021666537910589253,0.0388819444444444,0.7969143342024411,16.333351254197904,0.0,0.7232142857142857,0.5914285714285714,0.2057857142857143,0.3154285714285714,0.3035714285714286,0.5267857142857143,0.9826428571428572,0.7410714285714286,0.7232142857142857,0.7589285714285714,0.5714285714285714,0.75,0.7410714285714286,0.7767857142857144,0.2946428571428572,0.7589285714285714,0.7410714285714286,0.75,0.7232142857142857,0.7767857142857144,0.7321428571428572,0.75,0.7321428571428572,0.4732142857142857,0.3249642857142856,0.2113571428571428,0.1279285714285714,0.1196785714285714,0.8414634146341463,0.8536585365853658,0.45121951219512196,0.7894736842105263,0.9512195121951219
FORTINET INC,0.02143901927700147,0.0191388888888888,0.4614104301869942,11.123926071222778,0.0,0.5089285714285714,0.5081428571428571,0.0945714285714285,0.1460714285714285,0.7232142857142857,0.625,0.9930714285714286,0.7589285714285714,0.875,0.9464285714285714,0.3392857142857143,0.5,0.75,0.9732142857142856,0.6785714285714286,0.7589285714285714,0.7321428571428572,0.7678571428571428,0.4732142857142857,0.9464285714285714,0.75,0.7678571428571428,0.4732142857142857,0.5178571428571428,0.2161785714285714,0.2575357142857143,0.1307857142857142,0.1526071428571428,0.6951219512195121,0.7926829268292683,0.7926829268292683,0.9868421052631579,0.08536585365853659
